"subject" "activity_name" "average"
20 "SITTING" 1414.01515151515
20 "STANDING" 1521.78082191781
20 "LAYING" 1087.5
21 "WALKING" 6631.94230769231
21 "WALKING_UPSTAIRS" 6522.1914893617
21 "WALKING_DOWNSTAIRS" 6694.77777777778
21 "SITTING" 6712.36470588235
21 "STANDING" 6642
21 "LAYING" 6385.92222222222
22 "WALKING" 6866.9347826087
22 "WALKING_UPSTAIRS" 6436.71428571429
22 "WALKING_DOWNSTAIRS" 6814.38888888889
22 "SITTING" 6838.5
22 "STANDING" 6787.49206349206
22 "LAYING" 6656.18055555556
23 "WALKING" 6186.98305084746
23 "WALKING_UPSTAIRS" 5939.03921568627
23 "WALKING_DOWNSTAIRS" 7033.59259259259
23 "SITTING" 6426.52941176471
23 "STANDING" 6597.76470588235
23 "LAYING" 6813.73611111111
24 "WALKING" 1462.8275862069
24 "WALKING_UPSTAIRS" 1472.25423728814
24 "WALKING_DOWNSTAIRS" 1706.52727272727
24 "SITTING" 1383.02941176471
24 "STANDING" 1599.24637681159
24 "LAYING" 1496.73611111111
25 "WALKING" 6885.95945945946
25 "WALKING_UPSTAIRS" 6751.72307692308
25 "WALKING_DOWNSTAIRS" 7217.70689655172
25 "SITTING" 6777.01538461538
25 "STANDING" 6747.72972972973
25 "LAYING" 7113.68493150685
26 "WALKING" 6482.76271186441
26 "WALKING_UPSTAIRS" 6139.32727272727
26 "WALKING_DOWNSTAIRS" 6382.6
26 "SITTING" 6937.74358974359
26 "STANDING" 6928.52702702703
26 "LAYING" 6701.68421052632
27 "WALKING" 6403.84210526316
27 "WALKING_UPSTAIRS" 5993.78431372549
27 "WALKING_DOWNSTAIRS" 7230.38636363636
27 "SITTING" 6522.47142857143
27 "STANDING" 6717.5625
27 "LAYING" 6104.52702702703
28 "WALKING" 6692.22222222222
28 "WALKING_UPSTAIRS" 6113.74509803922
28 "WALKING_DOWNSTAIRS" 6959.5
28 "SITTING" 6576.18055555556
28 "STANDING" 6691.25316455696
28 "LAYING" 6577.8
29 "WALKING" 6478.37735849057
29 "WALKING_UPSTAIRS" 6305.26530612245
29 "WALKING_DOWNSTAIRS" 7179.47916666667
29 "SITTING" 6653.21666666667
29 "STANDING" 6687.33846153846
29 "LAYING" 6912.84057971014
30 "WALKING" 6344.43076923077
30 "WALKING_UPSTAIRS" 6564.33846153846
30 "WALKING_DOWNSTAIRS" 6943.1935483871
30 "SITTING" 7138.20967741936
30 "STANDING" 6587.72881355932
30 "LAYING" 7053.25714285714
